shell_name,rho_fraction,gamma_multiplier,eta_label,eta_SD,eta_SR,eta_RD,branch_found,n_branches,n_points_lower,n_complex_points,hopf_found,hopf_outcome,hopf_L_c,hopf_omega,hopf_dalpha_dL,fold_found,L_fold,min_alpha_complex,max_trace_lower,leading_alpha_max,runtime_seconds,error
Shell_B_800km,0.05,1.0,baseline,1.0,1.0,1.0,True,2,67,8,False,complex_no_crossing,nan,nan,nan,True,671.7171717171717,-0.031093157716898155,-0.037500000000000006,-0.001388282735822785,0.9394314999808557,
Shell_B_800km,0.05,3.5789473684210527,baseline,1.0,1.0,1.0,True,2,19,7,False,complex_no_crossing,nan,nan,nan,True,186.86868686868686,-0.028560152196346653,-0.037500000000000006,-0.004188774521522167,0.9554340419708751,
Shell_B_800km,0.05,6.157894736842105,baseline,1.0,1.0,1.0,True,2,12,6,False,complex_no_crossing,nan,nan,nan,True,116.16161616161614,-0.025416190391635153,-0.037500000000000006,-0.0011759038934851705,0.8927831669570878,
Shell_B_800km,0.05,8.736842105263158,baseline,1.0,1.0,1.0,True,2,8,5,False,complex_no_crossing,nan,nan,nan,True,75.75757575757575,-0.021504508883516432,-0.037500000000000006,-0.004559289780854967,0.9420546249602921,
Shell_B_800km,0.05,11.31578947368421,baseline,1.0,1.0,1.0,True,2,7,4,False,complex_no_crossing,nan,nan,nan,True,65.65656565656565,-0.016911762694596925,-0.037500000000000006,-0.0035587068919087556,0.8389003329793923,
Shell_B_800km,0.05,13.894736842105264,baseline,1.0,1.0,1.0,True,2,6,4,False,complex_no_crossing,nan,nan,nan,True,55.55555555555556,-0.017823459221494843,-0.037500000000000006,-0.0027050684095468705,0.8329750830307603,
Shell_B_800km,0.05,16.473684210526315,baseline,1.0,1.0,1.0,True,2,5,3,False,complex_no_crossing,nan,nan,nan,True,45.45454545454545,-0.012369295864046542,-0.037500000000000006,-0.004455337512211784,0.8155511670047417,
Shell_B_800km,0.05,19.05263157894737,baseline,1.0,1.0,1.0,True,2,4,3,False,complex_no_crossing,nan,nan,nan,True,35.35353535353535,-0.01275265102924014,-0.037500000000000006,-0.004419757239872485,0.8051063329912722,
Shell_B_800km,0.05,21.63157894736842,baseline,1.0,1.0,1.0,True,2,4,3,False,complex_no_crossing,nan,nan,nan,True,35.35353535353535,-0.013416348550012521,-0.037500000000000006,-0.004383682001430401,0.8007701669703238,
Shell_B_800km,0.05,24.210526315789473,baseline,1.0,1.0,1.0,True,2,4,2,False,complex_no_crossing,nan,nan,nan,True,35.35353535353535,-0.007709380969374714,-0.037500000000000006,-0.0033802611790022014,0.7971762499655597,
